Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,age,Accepted_Cmp,children,duration
Master,Together,38620,112,17,44,34,22,89,1,2,5,3,3,0,60,No,0,10.532055669632673
College Graduate,Together,40548,110,0,5,2,0,3,2,2,1,4,5,0,53,Yes,1,11.11521788729181
PhD,Divorced,46610,96,12,96,33,22,43,6,4,1,6,6,0,71,Yes,2,11.063198722336299
Master,Married,68657,482,34,471,119,68,22,1,3,5,9,7,0,77,No,0,10.75096965548711
Master,Single,49389,40,0,19,2,1,3,1,2,0,3,7,0,72,No,2,10.230892083048142
PhD,Married,67353,702,17,151,0,8,35,5,5,6,12,2,0,53,No,1,9.89128450832763
Technical School,Married,23718,6,3,14,15,7,36,3,3,1,2,7,0,47,No,1,10.219940679899613
College Graduate,Widow,42429,55,0,6,2,0,4,2,1,1,3,5,0,50,No,1,9.77629477526808
PhD,Divorced,48948,437,8,206,160,49,42,2,7,10,5,6,0,80,Yes,0,10.80298882044262
College Graduate,Married,80011,421,76,536,82,178,102,2,8,6,5,4,0,43,No,1,10.564909879078257
Master,Married,20559,13,1,29,3,0,7,2,2,0,3,8,0,38,No,1,10.696326716860598
College Graduate,Together,21994,9,0,6,3,1,3,1,0,0,3,5,0,66,No,1,10.909765001140771
Master,Married,7500,3,1,10,3,2,12,3,2,0,3,5,0,48,No,1,10.13780515628565
College Graduate,Single,79941,123,164,266,227,30,174,1,2,4,9,1,0,47,No,0,9.401323294547113
Technical School,Married,7500,3,18,14,15,22,50,3,3,1,3,9,0,27,Yes,0,11.032968286561715
College Graduate,Together,41728,13,6,15,3,5,13,1,2,0,2,10,0,55,No,1,10.496463609399955
PhD,Married,72550,826,50,317,50,38,38,9,5,2,12,8,0,69,No,2,11.035706137348848
College Graduate,Widow,65486,245,19,125,37,67,14,1,4,2,10,2,0,66,No,1,9.530002281542323
Master,Married,79143,650,37,780,27,167,32,1,6,9,13,3,0,59,No,0,11.279488934519735
College Graduate,Single,35790,12,6,20,30,1,3,2,2,0,3,7,0,46,No,1,10.885124344056582
College Graduate,Divorced,82582,510,120,550,156,40,241,1,4,9,7,1,0,46,Yes,0,9.458818161076888
College Graduate,Married,66373,328,9,124,12,24,109,7,4,2,10,3,0,45,No,2,10.444444444444445
Master,Together,82384,984,51,432,180,120,190,1,3,10,13,1,0,68,Yes,0,11.005589778690394
College Graduate,Divorced,70287,295,35,482,121,120,40,1,5,5,10,3,0,57,Yes,0,10.638831850330824
College Graduate,Single,27938,13,0,8,2,1,5,1,1,0,4,3,0,35,No,1,9.568332192562172
PhD,Married,55954,447,0,28,0,0,43,3,8,2,6,7,0,55,No,1,9.72153775952544
Master,Single,75777,712,26,538,69,13,80,1,3,6,11,1,0,41,Yes,0,10.38421172712754
College Graduate,Together,66653,452,18,102,16,18,6,4,4,2,12,3,0,48,No,2,11.205566963267168
College Graduate,Single,61823,523,7,134,37,14,169,4,8,2,10,7,0,71,No,1,10.756445357061374
PhD,Widow,67680,546,0,48,0,6,6,1,7,3,8,5,0,72,No,1,10.447182295231578
College Graduate,Together,70666,398,40,367,119,122,30,1,7,4,4,4,0,75,No,0,9.959730778005932
College Graduate,Married,25721,1,3,6,3,6,15,1,1,1,2,7,0,52,Yes,1,10.504677161761352
College Graduate,Together,32474,10,0,1,0,0,0,1,1,0,2,7,0,56,No,2,9.532740132329454
Technical School,Single,88194,688,14,309,201,24,38,1,11,10,10,5,0,44,Yes,1,9.677846224047457
College Graduate,Together,69096,247,49,159,7,82,109,1,5,2,10,4,0,65,No,1,10.15149441022131
College Graduate,Together,74854,856,59,487,58,29,73,7,2,5,5,5,0,53,No,3,10.622404745608032
Master,Married,66991,496,36,460,189,60,12,3,4,8,6,3,0,69,No,0,11.19461556011864
College Graduate,Married,65031,258,107,291,84,37,86,4,10,3,13,7,0,64,No,1,10.682637462924937
PhD,Married,60631,565,6,65,0,6,19,5,9,2,8,7,0,48,Yes,2,10.630618297969427
College Graduate,Married,28332,14,10,13,4,15,9,1,2,1,4,2,0,71,No,0,9.562856490987908
College Graduate,Divorced,40246,2,1,6,2,1,1,1,1,0,2,6,0,46,No,1,10.92345425507643
Master,Married,75251,721,111,925,97,18,18,1,7,6,5,5,0,51,Yes,0,11.23568332192562
College Graduate,Single,75825,1032,105,779,137,105,51,0,5,8,9,4,0,47,Yes,0,11.109742185717545
Technical School,Together,26326,1,0,5,0,3,9,1,0,0,3,3,1,47,No,0,10.21446497832535
College Graduate,Together,56046,577,0,64,0,0,51,2,10,1,8,8,0,58,Yes,0,10.885124344056582
College Graduate,Single,29760,64,4,68,7,5,17,4,3,1,4,8,0,38,No,1,11.230207620351356
College Graduate,Married,26304,4,1,5,2,0,4,1,1,0,2,7,0,54,No,1,10.414328085785991
Technical School,Married,23559,25,5,19,7,0,23,3,3,0,3,7,0,50,No,1,10.38694957791467
Master,Together,38620,112,17,44,34,22,89,1,2,5,3,3,0,60,No,0,10.532055669632673
College Graduate,Divorced,81361,163,23,424,27,65,76,1,3,10,13,1,0,36,No,0,9.737964864248232
College Graduate,Married,29440,17,8,14,10,4,3,2,1,0,4,7,0,63,No,2,10.280173397216519
Master,Married,36138,130,0,16,0,0,5,5,3,1,4,7,0,53,Yes,2,10.351357517681953
College Graduate,Single,50388,292,6,37,0,3,34,4,6,1,6,7,0,66,Yes,1,9.48619666894821
College Graduate,Married,79593,350,60,568,110,133,145,1,5,6,7,2,0,50,Yes,0,9.530002281542323
College Graduate,Together,54178,135,9,39,4,0,7,1,2,2,5,2,0,56,No,1,9.833789641797855
Master,Single,42394,15,2,10,0,1,4,1,1,0,3,7,0,51,No,1,9.666894820898928
PhD,Married,23626,27,2,14,0,0,0,3,3,1,3,5,0,53,No,1,9.497148072096739
College Graduate,Married,30096,5,3,11,12,5,9,1,2,0,3,6,0,40,No,1,9.502623773671003
College Graduate,Widow,47916,505,0,26,0,0,75,5,7,4,6,6,0,63,Yes,1,10.997376226328997
College Graduate,Divorced,51813,51,2,7,0,1,2,2,2,0,3,7,0,51,No,2,10.614191193246635
Technical School,Married,78497,207,26,447,75,0,223,1,5,7,12,2,0,72,Yes,0,9.973420031941592
PhD,Married,50150,135,46,92,65,61,11,2,5,2,7,5,0,40,No,0,10.422541638147388
Technical School,Single,47823,53,1,5,2,1,10,2,2,0,3,8,0,63,No,1,10.332192562172029
PhD,Single,34554,41,1,6,2,0,5,2,2,0,3,6,0,64,No,1,9.647729865389003
College Graduate,Together,85693,386,172,183,185,132,111,2,9,5,11,5,0,44,No,1,10.589550536162447
PhD,Married,65846,562,81,276,80,40,81,1,6,3,6,4,0,78,No,0,10.51562856490988
College Graduate,Married,87195,217,76,690,50,26,38,1,3,11,5,1,0,64,Yes,0,9.540953684690852
High School,Together,24594,1,3,6,10,0,9,1,1,0,3,5,0,44,No,1,9.948779374857404
College Graduate,Married,49096,144,1,32,2,1,7,4,4,1,4,7,0,59,No,2,10.159707962582706
College Graduate,Married,52413,295,106,271,75,98,65,4,6,4,12,6,0,54,No,2,10.800250969655487
College Graduate,Single,38557,76,3,31,4,4,27,2,3,1,3,7,0,45,No,1,10.92345425507643
Master,Married,89058,454,194,106,31,22,43,1,5,4,4,2,0,63,No,0,10.956308464522017
College Graduate,Together,77298,425,115,292,23,35,79,1,6,6,11,3,0,44,No,1,10.052931781884554
PhD,Single,68126,1332,17,311,23,51,86,1,7,4,5,9,0,32,Yes,0,11.030230435774584
Master,Together,57288,527,0,21,0,0,60,3,8,1,8,6,0,60,Yes,1,9.40953684690851
College Graduate,Single,86037,490,44,125,29,20,22,1,6,7,11,3,0,32,Yes,0,10.885124344056582
PhD,Married,43974,378,0,101,0,0,72,5,6,4,6,7,0,43,No,1,10.942619210586356
College Graduate,Single,50785,64,1,21,0,1,27,2,2,1,3,6,0,61,No,2,10.198037873602555
College Graduate,Married,90765,547,99,812,151,82,33,0,4,6,5,1,0,53,Yes,0,9.825576089436458
Technical School,Married,36550,47,90,94,123,103,120,5,9,1,5,9,0,45,No,1,10.75370750627424
Technical School,Together,30753,12,5,25,0,9,30,2,1,1,3,5,0,56,No,2,10.365046771617614
College Graduate,Together,21918,1,6,7,11,5,3,2,2,0,3,6,0,54,No,1,10.019963495322838
Master,Together,56129,320,48,133,39,72,48,4,6,2,10,4,0,70,No,1,10.422541638147388
Master,Single,32557,34,3,29,0,4,10,3,2,1,3,5,0,56,Yes,1,9.740702715035363
Master,Married,19510,9,0,7,3,4,7,2,1,0,3,7,0,38,No,2,10.21446497832535
College Graduate,Divorced,30992,17,0,14,7,3,2,1,1,0,3,7,0,47,No,1,10.584074834588183
College Graduate,Single,101970,722,27,102,44,72,168,0,6,8,13,2,0,40,Yes,0,10.696326716860598
Technical School,Together,71488,162,33,124,40,28,172,2,3,4,7,1,0,58,No,0,10.756445357061374
College Graduate,Single,79607,450,133,951,173,0,216,1,3,6,6,1,0,39,Yes,0,10.586812685375314
Master,Married,54348,70,0,16,0,0,4,2,2,0,4,6,0,70,No,2,9.456080310289757
PhD,Together,77376,492,19,110,16,12,12,4,6,3,10,4,0,67,No,2,9.535477983116587
College Graduate,Married,62998,120,58,73,65,89,58,5,5,4,5,5,0,71,No,1,10.143280857859914
Master,Single,61331,534,5,47,0,5,41,5,11,1,6,8,0,65,No,2,10.70168834131873
College Graduate,Married,73448,236,106,189,23,41,130,1,7,2,9,4,0,54,No,0,9.779032626055212
PhD,Married,41551,220,0,33,3,0,23,5,5,1,5,8,0,59,No,2,10.271959844855122
PhD,Together,62981,796,14,590,38,44,0,1,4,5,13,3,0,56,Yes,0,10.682637462924937
High School,Divorced,9548,0,1,3,10,6,9,2,1,0,3,8,0,47,No,1,11.28770248688113
PhD,Married,33762,53,1,34,2,0,16,3,2,2,2,8,0,64,No,3,10.375998174766142
PhD,Single,35860,15,0,8,4,2,20,2,1,1,2,5,0,50,Yes,2,9.510837326032398
PhD,Divorced,36921,17,1,12,3,1,4,2,2,0,3,7,0,58,No,2,10.318503308236368
Master,Single,92859,962,61,921,52,61,20,1,5,4,12,2,0,31,No,0,11.090577230207622
Master,Together,65104,738,0,232,13,20,50,2,3,5,7,7,0,47,Yes,1,10.019963495322838
College Graduate,Married,86111,399,28,756,36,40,126,1,5,7,10,2,0,61,No,0,10.592288386949578
PhD,Single,68352,614,16,132,43,33,33,3,8,5,9,6,0,49,No,1,10.233629933835273
College Graduate,Together,41883,32,34,41,73,16,116,3,4,2,3,7,0,35,No,1,10.677161761350673
College Graduate,Married,59809,598,16,141,32,41,49,3,3,3,6,8,0,47,No,2,11.093315080994753
College Graduate,Married,23957,2,1,18,20,11,16,1,2,0,3,6,0,48,Yes,1,11.065936573123432
College Graduate,Together,38547,6,1,10,0,1,4,1,1,0,2,8,1,42,No,1,10.233629933835273
Technical School,Married,35688,73,3,90,12,1,32,7,4,1,4,8,0,50,No,3,11.249372575861281
Master,Married,49605,42,16,29,12,20,8,1,2,1,4,3,0,57,No,0,9.420488250057039
Master,Married,59354,295,21,78,39,13,13,1,4,4,7,3,0,70,No,2,9.5792835957107
College Graduate,Married,65747,346,17,48,23,13,13,4,8,1,6,6,0,54,Yes,1,9.710586356376911
Technical School,Together,46344,233,20,57,8,20,91,4,7,1,5,7,0,51,No,1,10.937143509012092
College Graduate,Single,34176,5,7,24,19,14,20,4,3,0,4,6,0,35,No,1,9.530002281542323
PhD,Together,61010,888,0,57,0,0,76,2,8,5,11,5,0,71,No,1,11.117955738078942
College Graduate,Together,69372,997,26,269,34,13,42,1,10,4,6,4,0,74,Yes,0,10.75370750627424
College Graduate,Single,49967,212,6,69,4,12,3,3,6,1,5,7,0,65,No,1,10.37326032397901
College Graduate,Single,60199,8,1,7,2,0,0,1,0,0,3,4,0,45,No,3,10.19256217202829
College Graduate,Together,55375,42,11,57,10,28,14,1,1,1,6,2,0,46,No,1,10.096737394478668
College Graduate,Single,80317,536,11,387,149,91,57,1,3,4,10,1,0,68,No,0,10.25553274013233
Master,Single,30523,5,0,3,0,0,5,1,1,0,2,7,0,65,No,3,10.392425279488934
PhD,Married,70356,1349,16,249,43,16,33,2,10,6,9,6,0,78,No,0,11.043919689710243
College Graduate,Married,23228,53,3,49,7,4,5,4,3,0,4,8,0,39,No,1,9.877595254391968
PhD,Divorced,74165,1001,12,240,16,12,12,1,5,4,10,2,0,48,No,0,10.559434177503993
PhD,Married,157243,20,2,1582,1,2,1,15,0,22,0,0,0,50,No,1,9.727013461099704
College Graduate,Together,43482,18,1,32,6,3,28,3,2,0,4,6,0,57,No,3,10.02270134610997
College Graduate,Divorced,62551,125,16,98,134,21,27,1,6,7,4,3,0,70,Yes,0,10.00901209217431
College Graduate,Divorced,52332,212,5,33,7,0,2,1,3,2,6,4,0,64,Yes,0,10.233629933835273
College Graduate,Single,66951,277,162,305,173,76,124,1,3,4,7,1,0,35,No,0,10.052931781884554
College Graduate,Together,26091,15,10,19,8,17,20,3,2,1,3,5,0,66,No,2,9.737964864248232
College Graduate,Together,33456,7,3,10,8,1,7,2,1,0,3,7,0,58,No,2,9.587497148072098
College Graduate,Married,28718,12,4,6,11,8,16,2,2,0,3,8,0,41,No,1,10.35957107004335
College Graduate,Married,50447,85,7,24,2,3,27,1,3,1,3,6,0,53,No,2,9.587497148072098
PhD,Together,53537,81,0,6,0,0,6,2,2,1,3,5,0,64,No,2,9.809148984713666
College Graduate,Single,52074,59,0,12,0,0,48,1,2,2,2,4,0,56,Yes,1,9.634040611453344
PhD,Married,80427,1149,71,449,69,71,26,1,11,8,8,5,0,48,No,1,11.191877709331509
PhD,Married,83837,847,66,119,86,89,111,1,9,10,5,4,0,75,Yes,0,10.931667807437828
PhD,Married,38853,29,0,14,0,0,2,2,2,0,3,7,0,53,No,2,9.49988592288387
College Graduate,Together,38285,2,0,5,2,0,1,1,0,0,3,2,0,64,No,3,9.412274697695644
Technical School,Married,78497,207,26,447,75,0,223,1,5,7,12,2,0,72,Yes,0,9.973420031941592
PhD,Married,51650,152,3,22,2,5,7,1,4,1,4,5,0,47,No,1,9.532740132329454
Technical School,Married,16248,12,11,10,3,12,9,3,2,1,3,6,0,35,No,1,9.535477983116587
Master,Married,66835,620,26,195,34,17,141,1,6,4,13,2,0,77,No,0,10.148756559434178
Master,Married,30477,47,1,6,0,0,12,1,1,1,3,6,0,39,No,1,9.831051791010722
High School,Married,28249,1,9,7,2,14,10,1,2,0,3,6,0,62,No,0,9.436915354779831
College Graduate,Married,25271,10,1,18,10,4,7,1,1,1,2,9,0,40,No,1,10.961784166096281
PhD,Single,32303,35,0,2,0,0,2,2,1,0,4,5,0,53,No,1,9.707848505589778
College Graduate,Married,61286,356,0,107,19,9,117,2,7,1,8,5,0,57,No,1,10.304814054300708
College Graduate,Married,74068,783,30,537,140,76,15,1,4,10,9,2,0,47,No,0,10.677161761350673
PhD,Married,45759,42,1,18,3,0,4,2,2,0,3,7,0,59,No,2,10.742756103125712
High School,Together,24882,1,4,10,29,0,36,1,1,1,2,6,0,45,Yes,1,11.200091261692904
PhD,Together,66973,466,22,432,147,113,102,1,8,7,12,3,0,34,No,0,10.51562856490988
College Graduate,Married,38872,23,3,21,3,19,22,2,3,0,3,8,0,35,No,1,10.480036504677162
College Graduate,Married,51148,235,6,45,8,9,12,4,5,1,6,6,0,50,No,2,10.756445357061374
College Graduate,Married,31353,10,0,10,3,1,7,2,1,1,2,8,0,46,No,2,9.896760209901894
Master,Married,69661,656,16,106,32,16,8,1,7,3,12,3,0,43,No,0,9.52726443075519
College Graduate,Married,80067,519,17,813,27,173,51,1,4,6,6,2,0,69,Yes,0,10.173397216518367
College Graduate,Married,86718,344,189,482,50,33,172,1,5,6,5,2,0,69,No,0,10.8440565822496
PhD,Single,46854,96,1,79,7,1,79,6,5,1,3,8,0,50,Yes,2,9.644992014601872
College Graduate,Divorced,69142,448,4,34,6,4,39,3,8,1,7,5,0,71,Yes,1,9.398585443759982
College Graduate,Single,75922,265,138,553,224,23,92,1,4,4,9,1,0,55,No,0,9.951517225644535
College Graduate,Divorced,63693,587,43,337,42,87,54,3,11,6,9,6,0,45,No,1,10.104950946840065
PhD,Together,102160,763,29,138,76,176,58,0,7,9,10,4,0,46,Yes,0,11.05224731918777
PhD,Single,40637,22,0,13,0,0,3,2,1,0,3,7,0,58,No,2,10.348619666894821
Master,Single,18890,6,4,1,7,2,15,1,0,1,2,6,0,39,Yes,0,11.030230435774584
College Graduate,Together,29604,7,6,13,7,6,14,1,1,0,3,9,0,35,Yes,1,9.954255076431668
Master,Divorced,48721,81,18,113,47,13,21,6,4,2,5,6,0,60,No,2,10.526579968058408
College Graduate,Married,44794,54,0,7,0,0,4,1,2,0,3,6,0,57,No,1,9.456080310289757
College Graduate,Divorced,64497,1170,48,320,42,32,192,5,11,4,9,8,0,69,Yes,1,11.197353410905773
College Graduate,Together,46097,72,24,68,65,4,8,5,3,1,6,4,0,67,No,1,10.644307551905088
College Graduate,Together,77972,613,22,319,33,102,12,1,4,6,9,1,0,69,No,0,9.680584074834588
PhD,Married,44377,224,0,30,0,0,10,8,5,1,5,8,0,55,No,2,11.12890714122747
Master,Together,46014,410,0,59,19,9,44,10,7,1,8,7,0,49,No,2,10.833105179101072
College Graduate,Married,70951,239,10,554,254,87,54,1,3,4,9,1,0,38,No,0,10.551220625142596
College Graduate,Married,41443,171,7,171,25,19,89,6,8,1,5,8,0,46,No,1,9.642254163814739
Technical School,Single,52195,12,0,4,0,0,1,1,1,0,2,8,0,45,No,3,9.530002281542323
Master,Married,83790,1076,16,417,42,48,16,1,8,10,6,3,0,75,Yes,0,10.017225644535706
Master,Widow,44551,182,4,33,0,0,66,2,4,1,5,7,0,69,No,1,10.225416381473877
College Graduate,Together,69508,824,32,162,42,32,43,2,11,4,11,6,0,43,No,1,11.019279032626056
Technical School,Together,45204,30,11,25,29,1,18,1,1,1,4,3,0,35,No,1,9.614875655943418
College Graduate,Married,72460,377,10,540,80,30,10,1,3,5,7,1,0,54,No,0,10.019963495322838
PhD,Together,77622,520,7,154,19,0,14,2,6,3,11,3,0,53,No,2,9.606662103582021
PhD,Married,30732,155,1,25,0,1,3,4,4,1,4,8,0,43,No,1,10.876910791695186
College Graduate,Divorced,63887,897,23,207,15,11,92,5,9,6,12,6,0,61,No,1,11.202829112480037
College Graduate,Together,42011,131,0,16,2,1,39,4,3,1,4,8,0,45,No,1,10.65799680584075
College Graduate,Together,51369,297,7,79,0,11,182,2,8,2,4,8,0,47,No,1,11.074150125484827
College Graduate,Divorced,51537,787,20,204,0,0,92,3,2,2,11,8,0,71,No,1,10.950832762947753
PhD,Married,79930,792,86,740,67,51,17,1,3,5,8,2,0,51,No,0,11.28770248688113
PhD,Together,34320,4,1,9,3,0,0,1,1,0,2,8,0,37,No,1,9.76260552133242
College Graduate,Single,37070,231,7,137,4,15,39,9,5,1,8,7,0,57,Yes,2,10.674423910563542
Technical School,Divorced,81975,983,76,184,180,138,27,1,6,3,4,7,0,61,Yes,1,10.876910791695186
College Graduate,Together,38590,3,1,8,4,3,3,1,1,0,2,8,0,52,No,1,10.521104266484144
College Graduate,Single,15033,0,4,5,6,0,4,1,1,0,3,3,0,72,No,0,9.601186402007757
PhD,Married,62745,562,21,464,28,10,32,3,7,8,11,5,0,58,No,1,10.666210358202145
Technical School,Married,22212,5,9,20,6,8,21,2,2,0,4,6,0,48,No,1,9.951517225644535
Master,Together,23661,18,0,4,0,0,1,1,1,0,3,7,0,41,No,1,9.965206479580196
PhD,Single,79761,415,5,124,15,35,11,1,5,2,11,3,0,65,No,1,10.132329454711385
College Graduate,Single,7500,5,3,10,12,7,20,4,3,1,3,7,0,50,No,1,9.904973762263289
College Graduate,Widow,73455,901,61,757,186,163,20,1,6,5,10,3,0,55,Yes,0,10.066621035820216
College Graduate,Together,64961,382,114,276,75,124,38,2,6,4,4,3,0,65,No,1,10.912502851927902
College Graduate,Single,22804,14,1,7,2,1,1,1,2,0,2,9,0,52,No,1,10.310289755874972
College Graduate,Married,73687,559,153,503,218,13,181,1,3,9,9,2,0,33,Yes,0,9.981633584302989
College Graduate,Married,61074,789,0,133,0,28,152,7,11,5,8,7,0,65,No,1,11.263061829796943
PhD,Married,31686,11,0,5,0,0,1,2,1,0,3,6,0,59,No,2,9.464293862651152
College Graduate,Married,80134,1218,16,272,104,0,80,2,5,3,6,6,0,51,Yes,1,10.507415012548483
College Graduate,Married,75027,925,64,179,133,12,77,2,9,4,6,5,0,70,No,1,10.865959388546656
PhD,Married,67546,864,134,768,150,38,172,1,4,10,5,3,0,35,No,0,11.224731918777092
Master,Together,65176,960,28,183,220,70,70,4,9,6,6,6,0,54,No,1,11.063198722336299
Master,Single,31160,16,3,25,6,1,13,2,2,0,3,8,0,48,No,1,10.181610768879763
College Graduate,Single,29938,3,3,7,0,2,11,2,1,0,3,6,0,38,No,1,10.069358886607347
College Graduate,Divorced,102692,168,148,444,32,172,148,1,6,9,13,2,0,49,Yes,0,10.630618297969427
Technical School,Together,26490,45,47,52,21,20,25,2,3,1,5,6,0,65,No,0,11.164499201460188
College Graduate,Together,75702,650,28,353,45,42,30,5,4,6,11,8,0,56,No,2,11.230207620351356
PhD,Single,30899,24,0,8,0,0,1,2,1,0,3,6,0,49,No,1,11.107004334930414
PhD,Together,63342,918,21,118,13,10,21,3,8,3,5,6,0,62,Yes,1,11.098790782569017
College Graduate,Single,45989,138,33,87,28,24,12,4,3,2,7,3,0,59,No,1,11.082363677846224
College Graduate,Single,18701,12,4,2,10,6,10,4,2,0,4,5,0,59,No,2,10.466347250741501
PhD,Single,40737,11,0,4,0,0,2,1,1,0,2,8,0,66,No,3,9.954255076431668
College Graduate,Divorced,15287,1,2,8,4,3,13,2,1,1,2,7,0,44,Yes,1,11.11521788729181
PhD,Divorced,69674,554,41,215,11,0,24,3,10,2,10,5,0,55,No,2,10.501939310974219
Master,Married,44159,167,2,62,24,13,7,4,4,1,6,5,0,53,No,1,9.431439653205567
PhD,Married,37717,9,0,6,4,1,5,1,1,0,2,9,0,45,No,1,10.994638375541866
Master,Together,43776,177,2,71,3,2,20,6,5,2,4,8,0,71,Yes,2,10.797513118868354
Master,Married,38179,38,4,22,4,2,20,4,3,1,3,7,0,57,No,2,10.690851015286334
College Graduate,Married,80124,483,84,398,205,84,241,1,3,7,8,1,0,60,Yes,0,9.406798996121378
PhD,Married,38097,77,2,35,0,1,69,4,3,2,2,7,0,53,Yes,2,11.10152863335615
College Graduate,Married,72940,182,74,298,162,149,116,1,3,3,6,1,0,53,No,0,10.42527948893452
College Graduate,Together,22070,10,7,19,8,2,21,2,2,2,2,6,0,53,No,1,10.132329454711385
College Graduate,Single,69267,778,44,499,95,73,146,2,3,4,5,7,0,70,Yes,0,11.164499201460188
Master,Single,31788,16,7,23,0,8,6,3,3,0,4,5,1,40,No,1,9.675108373260324
PhD,Together,61905,167,0,43,6,2,13,2,4,2,4,5,0,48,No,1,9.795459730778006
College Graduate,Married,29315,13,2,14,8,7,4,4,2,0,4,6,0,63,No,2,9.62856490987908
College Graduate,Divorced,33378,33,6,40,3,7,10,3,2,0,4,7,0,60,No,2,10.789299566506958
PhD,Together,66313,625,7,99,10,22,7,2,6,3,12,4,0,60,No,1,10.181610768879763
College Graduate,Single,60714,216,162,224,101,92,162,2,7,4,10,5,0,67,Yes,0,10.8440565822496
Master,Together,77882,68,129,396,188,22,15,1,3,3,5,1,0,42,No,0,9.562856490987908
PhD,Single,69867,196,0,512,33,130,54,1,3,5,8,1,0,37,Yes,0,10.638831850330824
Master,Divorced,63841,635,15,100,20,7,131,1,9,3,9,6,0,55,No,1,10.586812685375314
High School,Married,24480,4,19,9,28,25,17,3,3,0,4,7,0,42,No,1,10.775610312571297
College Graduate,Together,51369,297,7,79,0,11,182,2,8,2,4,8,0,47,No,1,11.074150125484827
College Graduate,Together,37760,84,5,38,150,12,28,2,4,1,6,7,0,77,No,0,11.224731918777092
PhD,Together,65640,204,7,149,20,15,66,1,5,1,8,2,0,49,No,1,9.727013461099704
Master,Married,44319,26,0,8,0,0,3,2,2,0,3,5,0,48,No,2,9.598448551220626
College Graduate,Married,30631,15,6,20,4,5,20,1,3,1,2,7,0,49,No,1,10.362308920830483
College Graduate,Together,75278,304,98,230,150,74,74,1,6,3,13,3,0,71,No,0,10.811202372804015
Master,Together,50898,285,28,242,55,114,135,13,6,2,12,5,0,67,No,2,10.86869723933379
College Graduate,Widow,79946,395,183,565,166,141,28,1,5,11,5,3,0,57,No,0,9.530002281542323
